EstCod,Par,Tec,Pe,Datum,NO2
28079004,8,8,2,lun 01-09 00,23
28079004,8,8,2,lun 01-09 01,13
28079004,8,8,2,lun 01-09 02,8
28079004,8,8,2,lun 01-09 03,6
28079004,8,8,2,lun 01-09 04,6
28079004,8,8,2,lun 01-09 05,7
28079004,8,8,2,lun 01-09 06,13
28079004,8,8,2,lun 01-09 07,34
28079004,8,8,2,lun 01-09 08,47
28079004,8,8,2,lun 01-09 09,46
28079004,8,8,2,lun 01-09 10,46
28079004,8,8,2,lun 01-09 11,37
28079004,8,8,2,lun 01-09 12,52
28079004,8,8,2,lun 01-09 13,42
28079004,8,8,2,lun 01-09 14,29
28079004,8,8,2,lun 01-09 15,26
28079004,8,8,2,lun 01-09 16,25
28079004,8,8,2,lun 01-09 17,24
28079004,8,8,2,lun 01-09 18,28
28079004,8,8,2,lun 01-09 19,36
28079004,8,8,2,lun 01-09 20,76
28079004,8,8,2,lun 01-09 21,109
28079004,8,8,2,lun 01-09 22,108
28079004,8,8,2,lun 01-09 23,98
28079004,8,8,2,mar 02-09 00,91
28079004,8,8,2,mar 02-09 01,29
28079004,8,8,2,mar 02-09 02,13
28079004,8,8,2,mar 02-09 03,14
28079004,8,8,2,mar 02-09 04,32
28079004,8,8,2,mar 02-09 05,39
28079004,8,8,2,mar 02-09 06,55
28079004,8,8,2,mar 02-09 07,74
28079004,8,8,2,mar 02-09 08,69
28079004,8,8,2,mar 02-09 09,55
28079004,8,8,2,mar 02-09 10,55
28079004,8,8,2,mar 02-09 11,59
28079004,8,8,2,mar 02-09 12,69
28079004,8,8,2,mar 02-09 13,48
28079004,8,8,2,mar 02-09 14,33
28079004,8,8,2,mar 02-09 15,26
28079004,8,8,2,mar 02-09 16,26
28079004,8,8,2,mar 02-09 17,26
28079004,8,8,2,mar 02-09 18,33
28079004,8,8,2,mar 02-09 19,50
28079004,8,8,2,mar 02-09 20,41
28079004,8,8,2,mar 02-09 21,42
28079004,8,8,2,mar 02-09 22,39
28079004,8,8,2,mar 02-09 23,15
28079004,8,8,2,mié 03-09 00,12
28079004,8,8,2,mié 03-09 01,12
28079004,8,8,2,mié 03-09 02,23
28079004,8,8,2,mié 03-09 03,22
28079004,8,8,2,mié 03-09 04,31
28079004,8,8,2,mié 03-09 05,44
28079004,8,8,2,mié 03-09 06,55
28079004,8,8,2,mié 03-09 07,64
28079004,8,8,2,mié 03-09 08,82
28079004,8,8,2,mié 03-09 09,86
28079004,8,8,2,mié 03-09 10,78
28079004,8,8,2,mié 03-09 11,77
28079004,8,8,2,mié 03-09 12,40
28079004,8,8,2,mié 03-09 13,29
28079004,8,8,2,mié 03-09 14,27
28079004,8,8,2,mié 03-09 15,21
28079004,8,8,2,mié 03-09 16,21
28079004,8,8,2,mié 03-09 17,23
28079004,8,8,2,mié 03-09 18,23
28079004,8,8,2,mié 03-09 19,21
28079004,8,8,2,mié 03-09 20,30
28079004,8,8,2,mié 03-09 21,30
28079004,8,8,2,mié 03-09 22,27
28079004,8,8,2,mié 03-09 23,24
28079004,8,8,2,jue 04-09 00,18
28079004,8,8,2,jue 04-09 01,13
28079004,8,8,2,jue 04-09 02,12
28079004,8,8,2,jue 04-09 03,8
28079004,8,8,2,jue 04-09 04,6
28079004,8,8,2,jue 04-09 05,7
28079004,8,8,2,jue 04-09 06,10
28079004,8,8,2,jue 04-09 07,37
28079004,8,8,2,jue 04-09 08,39
28079004,8,8,2,jue 04-09 09,37
28079004,8,8,2,jue 04-09 10,26
28079004,8,8,2,jue 04-09 11,26
28079004,8,8,2,jue 04-09 12,26
28079004,8,8,2,jue 04-09 13,23
28079004,8,8,2,jue 04-09 14,21
28079004,8,8,2,jue 04-09 15,17
28079004,8,8,2,jue 04-09 16,18
28079004,8,8,2,jue 04-09 17,24
28079004,8,8,2,jue 04-09 18,31
28079004,8,8,2,jue 04-09 19,47
28079004,8,8,2,jue 04-09 20,36
28079004,8,8,2,jue 04-09 21,36
28079004,8,8,2,jue 04-09 22,37
28079004,8,8,2,jue 04-09 23,42
28079004,8,8,2,vie 05-09 00,21
28079004,8,8,2,vie 05-09 01,24
28079004,8,8,2,vie 05-09 02,32
28079004,8,8,2,vie 05-09 03,27
28079004,8,8,2,vie 05-09 04,35
28079004,8,8,2,vie 05-09 05,40
28079004,8,8,2,vie 05-09 06,51
28079004,8,8,2,vie 05-09 07,49
28079004,8,8,2,vie 05-09 08,65
28079004,8,8,2,vie 05-09 09,56
28079004,8,8,2,vie 05-09 10,77
28079004,8,8,2,vie 05-09 11,64
28079004,8,8,2,vie 05-09 12,61
28079004,8,8,2,vie 05-09 13,34
28079004,8,8,2,vie 05-09 14,26
28079004,8,8,2,vie 05-09 15,25
28079004,8,8,2,vie 05-09 16,23
28079004,8,8,2,vie 05-09 17,24
28079004,8,8,2,vie 05-09 18,25
28079004,8,8,2,vie 05-09 19,39
28079004,8,8,2,vie 05-09 20,68
28079004,8,8,2,vie 05-09 21,63
28079004,8,8,2,vie 05-09 22,45
28079004,8,8,2,vie 05-09 23,25
28079004,8,8,2,sáb 06-09 00,23
28079004,8,8,2,sáb 06-09 01,22
28079004,8,8,2,sáb 06-09 02,32
28079004,8,8,2,sáb 06-09 03,23
28079004,8,8,2,sáb 06-09 04,36
28079004,8,8,2,sáb 06-09 05,35
28079004,8,8,2,sáb 06-09 06,20
28079004,8,8,2,sáb 06-09 07,38
28079004,8,8,2,sáb 06-09 08,42
28079004,8,8,2,sáb 06-09 09,33
28079004,8,8,2,sáb 06-09 10,25
28079004,8,8,2,sáb 06-09 11,40
28079004,8,8,2,sáb 06-09 12,24
28079004,8,8,2,sáb 06-09 13,17
28079004,8,8,2,sáb 06-09 14,15
28079004,8,8,2,sáb 06-09 15,11
28079004,8,8,2,sáb 06-09 16,10
28079004,8,8,2,sáb 06-09 17,14
28079004,8,8,2,sáb 06-09 18,18
28079004,8,8,2,sáb 06-09 19,27
28079004,8,8,2,sáb 06-09 20,34
28079004,8,8,2,sáb 06-09 21,44
28079004,8,8,2,sáb 06-09 22,45
28079004,8,8,2,sáb 06-09 23,54
28079004,8,8,2,dom 07-09 00,52
28079004,8,8,2,dom 07-09 01,48
28079004,8,8,2,dom 07-09 02,56
28079004,8,8,2,dom 07-09 03,45
28079004,8,8,2,dom 07-09 04,41
28079004,8,8,2,dom 07-09 05,43
28079004,8,8,2,dom 07-09 06,41
28079004,8,8,2,dom 07-09 07,37
28079004,8,8,2,dom 07-09 08,34
28079004,8,8,2,dom 07-09 09,31
28079004,8,8,2,dom 07-09 10,36
28079004,8,8,2,dom 07-09 11,27
28079004,8,8,2,dom 07-09 12,21
28079004,8,8,2,dom 07-09 13,16
28079004,8,8,2,dom 07-09 14,10
28079004,8,8,2,dom 07-09 15,8
28079004,8,8,2,dom 07-09 16,8
28079004,8,8,2,dom 07-09 17,9
28079004,8,8,2,dom 07-09 18,14
28079004,8,8,2,dom 07-09 19,14
28079004,8,8,2,dom 07-09 20,17
28079004,8,8,2,dom 07-09 21,24
28079004,8,8,2,dom 07-09 22,33
28079004,8,8,2,dom 07-09 23,34
28079004,8,8,2,lun 08-09 00,26
28079004,8,8,2,lun 08-09 01,14
28079004,8,8,2,lun 08-09 02,14
28079004,8,8,2,lun 08-09 03,8
28079004,8,8,2,lun 08-09 04,15
28079004,8,8,2,lun 08-09 05,32
28079004,8,8,2,lun 08-09 06,46
28079004,8,8,2,lun 08-09 07,53
28079004,8,8,2,lun 08-09 08,58
28079004,8,8,2,lun 08-09 09,64
28079004,8,8,2,lun 08-09 10,67
28079004,8,8,2,lun 08-09 11,31
28079004,8,8,2,lun 08-09 12,32
28079004,8,8,2,lun 08-09 13,29
28079004,8,8,2,lun 08-09 14,16
28079004,8,8,2,lun 08-09 15,21
28079004,8,8,2,lun 08-09 16,23
28079004,8,8,2,lun 08-09 17,22
28079004,8,8,2,lun 08-09 18,24
28079004,8,8,2,lun 08-09 19,37
28079004,8,8,2,lun 08-09 20,48
28079004,8,8,2,lun 08-09 21,42
28079004,8,8,2,lun 08-09 22,35
28079004,8,8,2,lun 08-09 23,27
28079004,8,8,2,mar 09-09 00,20
28079004,8,8,2,mar 09-09 01,26
28079004,8,8,2,mar 09-09 02,32
28079004,8,8,2,mar 09-09 03,35
28079004,8,8,2,mar 09-09 04,12
28079004,8,8,2,mar 09-09 05,9
28079004,8,8,2,mar 09-09 06,16
28079004,8,8,2,mar 09-09 07,45
28079004,8,8,2,mar 09-09 08,69
28079004,8,8,2,mar 09-09 09,63
28079004,8,8,2,mar 09-09 10,55
28079004,8,8,2,mar 09-09 11,42
28079004,8,8,2,mar 09-09 12,42
28079004,8,8,2,mar 09-09 13,33
28079004,8,8,2,mar 09-09 14,28
28079004,8,8,2,mar 09-09 15,32
28079004,8,8,2,mar 09-09 16,29
28079004,8,8,2,mar 09-09 17,23
28079004,8,8,2,mar 09-09 18,28
28079004,8,8,2,mar 09-09 19,36
28079004,8,8,2,mar 09-09 20,75
28079004,8,8,2,mar 09-09 21,114
28079004,8,8,2,mar 09-09 22,114
28079004,8,8,2,mar 09-09 23,105
28079004,8,8,2,mié 10-09 00,91
28079004,8,8,2,mié 10-09 01,76
28079004,8,8,2,mié 10-09 02,65
28079004,8,8,2,mié 10-09 03,24
28079004,8,8,2,mié 10-09 04,27
28079004,8,8,2,mié 10-09 05,47
28079004,8,8,2,mié 10-09 06,54
28079004,8,8,2,mié 10-09 07,64
28079004,8,8,2,mié 10-09 08,86
28079004,8,8,2,mié 10-09 09,82
28079004,8,8,2,mié 10-09 10,63
28079004,8,8,2,mié 10-09 11,51
28079004,8,8,2,mié 10-09 12,52
28079004,8,8,2,mié 10-09 13,33
28079004,8,8,2,mié 10-09 14,28
28079004,8,8,2,mié 10-09 15,24
28079004,8,8,2,mié 10-09 16,0
28079004,8,8,2,mié 10-09 17,0
28079004,8,8,2,mié 10-09 18,36
28079004,8,8,2,mié 10-09 19,48
28079004,8,8,2,mié 10-09 20,42
28079004,8,8,2,mié 10-09 21,44
28079004,8,8,2,mié 10-09 22,42
28079004,8,8,2,mié 10-09 23,19
28079004,8,8,2,jue 11-09 00,23
28079004,8,8,2,jue 11-09 01,27
28079004,8,8,2,jue 11-09 02,24
28079004,8,8,2,jue 11-09 03,10
28079004,8,8,2,jue 11-09 04,6
28079004,8,8,2,jue 11-09 05,9
28079004,8,8,2,jue 11-09 06,15
28079004,8,8,2,jue 11-09 07,40
28079004,8,8,2,jue 11-09 08,42
28079004,8,8,2,jue 11-09 09,36
28079004,8,8,2,jue 11-09 10,33
28079004,8,8,2,jue 11-09 11,25
28079004,8,8,2,jue 11-09 12,19
28079004,8,8,2,jue 11-09 13,19
28079004,8,8,2,jue 11-09 14,18
28079004,8,8,2,jue 11-09 15,19
28079004,8,8,2,jue 11-09 16,16
28079004,8,8,2,jue 11-09 17,17
28079004,8,8,2,jue 11-09 18,24
28079004,8,8,2,jue 11-09 19,29
28079004,8,8,2,jue 11-09 20,29
28079004,8,8,2,jue 11-09 21,36
28079004,8,8,2,jue 11-09 22,31
28079004,8,8,2,jue 11-09 23,22
28079004,8,8,2,vie 12-09 00,19
28079004,8,8,2,vie 12-09 01,16
28079004,8,8,2,vie 12-09 02,13
28079004,8,8,2,vie 12-09 03,13
28079004,8,8,2,vie 12-09 04,7
28079004,8,8,2,vie 12-09 05,14
28079004,8,8,2,vie 12-09 06,43
28079004,8,8,2,vie 12-09 07,64
28079004,8,8,2,vie 12-09 08,72
28079004,8,8,2,vie 12-09 09,73
28079004,8,8,2,vie 12-09 10,60
28079004,8,8,2,vie 12-09 11,59
28079004,8,8,2,vie 12-09 12,43
28079004,8,8,2,vie 12-09 13,40
28079004,8,8,2,vie 12-09 14,23
28079004,8,8,2,vie 12-09 15,22
28079004,8,8,2,vie 12-09 16,22
28079004,8,8,2,vie 12-09 17,22
28079004,8,8,2,vie 12-09 18,21
28079004,8,8,2,vie 12-09 19,24
28079004,8,8,2,vie 12-09 20,43
28079004,8,8,2,vie 12-09 21,53
28079004,8,8,2,vie 12-09 22,38
28079004,8,8,2,vie 12-09 23,27
28079004,8,8,2,sáb 13-09 00,43
28079004,8,8,2,sáb 13-09 01,46
28079004,8,8,2,sáb 13-09 02,47
28079004,8,8,2,sáb 13-09 03,44
28079004,8,8,2,sáb 13-09 04,41
28079004,8,8,2,sáb 13-09 05,40
28079004,8,8,2,sáb 13-09 06,41
28079004,8,8,2,sáb 13-09 07,38
28079004,8,8,2,sáb 13-09 08,36
28079004,8,8,2,sáb 13-09 09,41
28079004,8,8,2,sáb 13-09 10,48
28079004,8,8,2,sáb 13-09 11,45
28079004,8,8,2,sáb 13-09 12,48
28079004,8,8,2,sáb 13-09 13,21
28079004,8,8,2,sáb 13-09 14,13
28079004,8,8,2,sáb 13-09 15,13
28079004,8,8,2,sáb 13-09 16,24
28079004,8,8,2,sáb 13-09 17,25
28079004,8,8,2,sáb 13-09 18,29
28079004,8,8,2,sáb 13-09 19,37
28079004,8,8,2,sáb 13-09 20,34
28079004,8,8,2,sáb 13-09 21,44
28079004,8,8,2,sáb 13-09 22,49
28079004,8,8,2,sáb 13-09 23,56
28079004,8,8,2,dom 14-09 00,73
28079004,8,8,2,dom 14-09 01,45
28079004,8,8,2,dom 14-09 02,64
28079004,8,8,2,dom 14-09 03,50
28079004,8,8,2,dom 14-09 04,57
28079004,8,8,2,dom 14-09 05,44
28079004,8,8,2,dom 14-09 06,34
28079004,8,8,2,dom 14-09 07,49
28079004,8,8,2,dom 14-09 08,48
28079004,8,8,2,dom 14-09 09,40
28079004,8,8,2,dom 14-09 10,31
28079004,8,8,2,dom 14-09 11,26
28079004,8,8,2,dom 14-09 12,21
28079004,8,8,2,dom 14-09 13,16
28079004,8,8,2,dom 14-09 14,12
28079004,8,8,2,dom 14-09 15,9
28079004,8,8,2,dom 14-09 16,9
28079004,8,8,2,dom 14-09 17,9
28079004,8,8,2,dom 14-09 18,13
28079004,8,8,2,dom 14-09 19,15
28079004,8,8,2,dom 14-09 20,22
28079004,8,8,2,dom 14-09 21,34
28079004,8,8,2,dom 14-09 22,40
28079004,8,8,2,dom 14-09 23,44
28079004,8,8,2,lun 15-09 00,36
28079004,8,8,2,lun 15-09 01,52
28079004,8,8,2,lun 15-09 02,26
28079004,8,8,2,lun 15-09 03,6
28079004,8,8,2,lun 15-09 04,6
28079004,8,8,2,lun 15-09 05,10
28079004,8,8,2,lun 15-09 06,20
28079004,8,8,2,lun 15-09 07,46
28079004,8,8,2,lun 15-09 08,62
28079004,8,8,2,lun 15-09 09,59
28079004,8,8,2,lun 15-09 10,40
28079004,8,8,2,lun 15-09 11,24
28079004,8,8,2,lun 15-09 12,19
28079004,8,8,2,lun 15-09 13,23
28079004,8,8,2,lun 15-09 14,21
28079004,8,8,2,lun 15-09 15,15
28079004,8,8,2,lun 15-09 16,18
28079004,8,8,2,lun 15-09 17,18
28079004,8,8,2,lun 15-09 18,26
28079004,8,8,2,lun 15-09 19,30
28079004,8,8,2,lun 15-09 20,43
28079004,8,8,2,lun 15-09 21,71
28079004,8,8,2,lun 15-09 22,77
